canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Tissue,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Unknown,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Ureteral catheter,14,14,14,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2022,Wound/Drainage/Ulcer,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2023,Abscess (pus),1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2023,Aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2023,Blood culture,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2023,Genital tract,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2023,Ureteral catheter,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2023,Wound/Drainage/Ulcer,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,AUS,2024,Blood culture,11,11,11,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2010,Blood culture,6,6,6,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2010,Unknown,5,5,5,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2011,Intravenous/IV Line,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2011,Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2012,Abscess (pus),1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2012,Blood culture,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2012,GI tract/bowel,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2012,Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2013,Blood culture,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2013,Catheter,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2014,Blood culture,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Candida glabrata,Micafungin,Echinocandin,BEL,2014,Bronchoalveolar lavage/wash,6,6,6,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
